,short_name,community_name,d_english_learn,d_non_english_learn,d_total,n_english_learn_y1,n_english_learn_y2,n_non_english_learn_y1,n_non_english_learn_y2,n_y1,n_y2
144,TAFT HS,NORWOOD PARK,185,-263,-78,601,786,3695,3432,4296,4218
137,CLEMENTE HS,WEST TOWN,180,-31,149,120,300,475,444,595,744
236,CURIE HS,ARCHER HEIGHTS,133,-127,6,666,799,2237,2110,2903,2909
619,MATHER HS,WEST RIDGE,115,-46,69,584,699,1026,980,1610,1679
540,GREELEY,LAKE VIEW,103,11,114,95,198,219,230,314,428
472,ROOSEVELT HS,ALBANY PARK,89,-87,2,553,642,519,432,1072,1074
213,LOZANO,WEST TOWN,86,-4,82,54,140,106,102,160,242
468,NOBLE - PRITZKER HS,HERMOSA,84,-60,24,286,370,682,622,968,992
225,CAMERON,HUMBOLDT PARK,83,-48,35,207,290,370,322,577,612
149,JUAREZ HS,LOWER WEST SIDE,81,-143,-62,480,561,1113,970,1593,1531
